freq,psd_x,psd_y,psd_z,psd_xyz
169.2,1.387e+04,5.933e+04,5.532e+04,1.285e+05
170.8,1.008e+04,3.633e+04,3.679e+04,8.320e+04
172.3,8.736e+03,2.453e+04,2.777e+04,6.104e+04
173.9,8.296e+03,2.009e+04,2.505e+04,5.343e+04
175.5,8.858e+03,2.013e+04,1.923e+04,4.821e+04
177.0,8.216e+03,1.590e+04,1.676e+04,4.087e+04
178.6,5.176e+03,9.102e+03,1.563e+04,2.990e+04
180.2,3.923e+03,5.553e+03,1.414e+04,2.361e+04
181.7,4.315e+03,4.861e+03,1.439e+04,2.357e+04
183.3,3.380e+03,4.371e+03,1.375e+04,2.150e+04
184.9,4.010e+03,4.751e+03,1.301e+04,2.177e+04
186.4,5.009e+03,5.224e+03,1.374e+04,2.397e+04
188.0,4.272e+03,4.872e+03,1.384e+04,2.298e+04
189.6,5.664e+03,6.558e+03,1.594e+04,2.816e+04
191.1,9.393e+03,9.688e+03,1.616e+04,3.524e+04
192.7,1.553e+04,1.343e+04,1.955e+04,4.852e+04
194.3,2.223e+04,1.925e+04,2.422e+04,6.570e+04
195.8,3.086e+04,3.572e+04,2.738e+04,9.396e+04
197.4,3.011e+04,4.523e+04,3.017e+04,1.055e+05
199.0,1.930e+04,3.052e+04,2.994e+04,7.976e+04
200.5,2.125e+04,2.186e+04,3.329e+04,7.640e+04
202.1,1.562e+04,9.407e+03,2.753e+04,5.256e+04
