freq,psd_x,psd_y,psd_z,psd_xyz
181.7,1.696e+03,4.814e+03,1.612e+03,8.122e+03
183.3,1.716e+03,4.595e+03,1.530e+03,7.841e+03
184.9,1.917e+03,4.735e+03,1.563e+03,8.215e+03
186.4,2.148e+03,4.530e+03,1.536e+03,8.214e+03
188.0,2.507e+03,5.857e+03,1.702e+03,1.007e+04
189.6,2.914e+03,6.907e+03,1.907e+03,1.173e+04
191.1,2.566e+03,5.069e+03,1.628e+03,9.263e+03
192.7,2.004e+03,3.479e+03,1.207e+03,6.689e+03
194.3,2.053e+03,3.290e+03,1.126e+03,6.469e+03
195.8,2.467e+03,3.140e+03,1.344e+03,6.951e+03
197.4,3.074e+03,3.180e+03,1.710e+03,7.965e+03
199.0,3.162e+03,3.800e+03,1.948e+03,8.909e+03
200.5,2.594e+03,3.807e+03,1.693e+03,8.095e+03
202.1,2.559e+03,4.206e+03,1.655e+03,8.420e+03
